Day,Month,Years,Time,Latitude,Longitude,Depth,Mag,Place
4,10,2022,20:14:43,-4.9967,104.2793,112.997,4.4, Kotabumi
1,10,2022,13:50:16,-3.8325,101.8353,60.652,4.9, Bengkulu
29,9,2022,12:56:31,-5.4541,102.6805,37.099,4.5,kotabumi 
19,9,2022,19:16:25,-5.5071,102.886,38.085,4.2, Pagar Alam
13,9,2022,11:18:03,-5.6133,104.1844,96.048,4.9, Kotabumi
8,9,2022,17:52:49,-4.2333,102.2088,56.123,4.8, Bengkulu
7,9,2022,18:09:36,-3.2057,101.4444,47.046,5.4, Bengkulu
4,9,2022,8:52:13,-5.0652,102.8928,55.021,5.1, Pagar Alam
25,8,2022,3:21:30,-4.7217,101.7512,35,5, Bengkulu
24,8,2022,2:41:30,-5.2295,102.9363,57.472,4.7, Pagar Alam
23,8,2022,14:31:40,-5.0663,103.0801,51.924,6.2, Southrern Sumatra
17,8,2022,5:38:18,-4.9556,102.8299,58.429,4.5, Pagar Alam
15,8,2022,17:34:10,-2.2167,102.204,222.716,4, Southrern Sumatra
11,8,2022,5:19:17,-3.4254,101.8322,79.103,4.3,Bengkulu
7,8,2022,2:28:25,-4.3081,102.1657,52.321,4.9, Bengkulu
20,7,2022,0:43:28,-4.1765,102.073,58.144,4.4, Bengkulu
19,7,2022,23:46:50,-4.1438,102.1383,52,5.3, Southrern Sumatra
18,7,2022,7:03:39,-5.294,102.6748,41.803,4.4, Pagar Alam
17,7,2022,12:20:15,-5.3504,103.1414,44.33,4.5, Pagar Alam
6,7,2022,5:10:17,-5.1633,101.0026,7.409,5.2, Bengkulu
6,7,2022,1:34:36,-2.241,100.7961,55.32,4.7,Sungai Penuh
28,6,2022,23:24:57,-4.8951,102.8909,63.74,4.4, Pagar Alam
24,6,2022,15:08:39,-2.2605,102.1508,193.47,4.3,Sungai Penuh
18,6,2022,11:22:18,-4.9018,103.0305,66.86,5.3, Pagar Alam
10,6,2022,16:44:07,-4.4498,102.805,65.93,4.4, Pagar Alam
2,6,2022,7:11:54,-4.5835,102.6593,60.75,4.5, Pagar Alam
28,5,2022,15:58:07,-5.2218,105.6033,162.64,4.2, Metro
24,5,2022,21:18:18,-5.5503,103.8782,54.49,4.9, Kotabumi
23,5,2022,12:32:00,-4.7307,102.6334,58.6,4.9, Pagar Alam
21,5,2022,8:29:15,-4.698,102.6699,59.12,4.8, Pagar Alam
17,5,2022,23:53:24,-4.4891,102.732,61.08,4.4, Pagar Alam
16,5,2022,18:58:25,-5.2399,102.0088,23,5.8,Bengkulu
11,5,2022,18:52:15,-2.77,103.2352,277.71,4.4,Lubuklinggau
10,5,2022,0:19:13,-4.9622,102.5414,41.84,4.3, Pagar Alam
23,4,2022,23:44:05,-2.6417,101.4213,88.38,4.6, Sungai Penuh
7,4,2022,6:36:40,-3.9805,102.165,83.02,4.6, Bengkulu
19,3,2022,1:03:40,-3.314,102.171,98.76,4.5, Curup
18,3,2022,21:06:30,-3.6651,101.5566,33.53,4.2, Bengkulu
18,3,2022,14:46:08,-4.663,101.7353,26.27,4.4, Bengkulu
14,3,2022,15:12:40,-3.3406,100.8102,39.26,4.2,Sungai Penuh
13,3,2022,11:32:31,-4.1284,103.106,117.86,4.5, Pagar Alam
9,3,2022,22:09:31,-2.293,100.8763,66.18,4.4,Sungai Penuh
1,3,2022,1:12:29,-2.1365,101.877,112.87,4.3, Sungai Penuh
25,2,2022,23:58:07,-4.9709,101.7374,35,4.8, Bengkulu
19,2,2022,9:32:40,-4.7589,102.177,62.58,4.3,Bengkulu
16,2,2022,7:03:00,-3.6755,101.4584,47.48,4.1, Bengkulu
9,2,2022,21:09:58,-4.5998,102.6994,64.22,4.6, Pagar Alam
28,1,2022,23:38:14,-5.0608,102.2805,34.42,4.5,Bengkulu
21,1,2022,12:11:13,-1.9322,102.1505,227.91,4, Sungai Penuh
26,12,2021,14:09:13,-4.5717,102.0135,41.43,4.6, Bengkulu
12,12,2021,22:37:00,-4.184,101.317,35,4.6, Bengkulu
29,11,2021,9:07:44,-2.1893,104.2108,10,4.4, Jambi City
26,11,2021,14:33:53,-3.8198,101.3726,40.11,4.2, Bengkulu
26,11,2021,0:41:02,-3.1708,101.6916,88.82,4.6,Bengkulu
24,11,2021,21:45:53,-5.2019,102.5999,41.44,4.2, Pagar Alam
21,11,2021,18:20:53,-3.4199,101.4466,65.14,4.5,Bengkulu
17,11,2021,3:30:34,-3.5754,101.5892,59.84,5, Bengkulu
16,11,2021,17:11:17,-2.226,102.3492,211.84,4.4,Sungai Penuh
16,11,2021,4:10:06,-4.4371,101.7651,44.47,4.3,Bengkulu
1,11,2021,6:19:37,-4.4267,102.0245,30.88,4.5, Bengkulu
26,10,2021,17:25:38,-3.3274,101.6916,44.82,4.3,Bengkulu
23,10,2021,23:34:25,-4.6852,101.9672,46.53,4.8, Bengkulu
22,10,2021,17:01:14,-2.2317,100.8024,58.34,4.3,Sungai Penuh
15,10,2021,23:17:27,-4.9203,102.9791,59.39,5, Pagar Alam
11,10,2021,22:17:46,-3.1266,102.2585,114.01,4,Curup
4,10,2021,6:20:11,-2.3568,103.7389,10,4.4,Bejubang Dua
3,10,2021,16:24:04,-1.8709,101.4746,152.12,4.2,Sungai Penuh
19,9,2021,21:20:29,-5.2725,101.0844,10,4.3, Bengkulu
10,9,2021,1:42:22,-4.506,101.7368,39.27,4.4,Bengkulu
9,9,2021,5:17:58,-5.1416,102.0061,35,4.4,Bengkulu
2,9,2021,14:15:56,-4.742,102.5258,51.35,4.6, Bengkulu
16,8,2021,14:01:02,-4.187,100.9304,14.99,4.5, Bengkulu
14,8,2021,18:41:21,-4.4071,102.5646,61.49,4.9, Bengkulu
17,7,2021,9:35:45,-4.0686,101.1317,35,4.1, Bengkulu
14,7,2021,10:13:47,-4.4074,101.5733,31.28,4.5, Bengkulu
7,7,2021,23:23:47,-4.3721,102.306,53.37,4.2, Bengkulu
3,7,2021,13:09:46,-4.1986,102.4166,56.1,5.1, Bengkulu
1,7,2021,20:42:05,-5.5619,104.3857,78.48,4.3, Bandar Lampung
1,7,2021,18:59:55,-5.4073,104.6978,38.26,4.5, Bandar Lampung
1,7,2021,12:27:31,-5.4122,104.6531,25.14,4.5, Bandar Lampung
1,7,2021,3:43:34,-5.3475,104.7493,37.72,4.6, Bandar Lampung
1,7,2021,1:50:10,-5.4405,104.6491,40.82,4.6, Bandar Lampung
30,6,2021,22:11:14,-4.9425,105.0066,10,4.3,Kotabumi
27,6,2021,15:56:12,-2.8938,101.0849,40.3,5.1,Sungai Penuh
19,6,2021,21:12:15,-4.56,102.6323,56.2,5.2, Pagar Alam
17,6,2021,15:07:02,-4.3081,102.1361,51.36,4.1, Bengkulu
15,6,2021,14:16:14,-4.2753,102.4086,61.49,5.2, Bengkulu
10,6,2021,10:12:47,-4.8293,102.9678,59.31,5.1, Pagar Alam
24,5,2021,12:48:36,-4.2185,101.9758,53.13,4.3,Bengkulu
21,5,2021,18:36:48,-4.9566,102.1795,33.2,4.8,Bengkulu
15,5,2021,0:34:33,-2.1998,102.2695,199.26,4.4, Sungai Penuh
8,5,2021,11:29:31,-4.136,102.4892,79.19,4.4,Bengkulu
23,4,2021,17:06:41,-4.2804,102.1768,60.92,4.4, Bengkulu
22,4,2021,18:35:49,-5.6219,101.6961,10,4.4, Bengkulu
21,4,2021,20:12:14,-4.5401,103.0488,66.18,4.2, Pagar Alam
21,4,2021,14:32:31,-3.7914,102.354,106.17,4.3,Bengkulu
13,4,2021,5:53:17,-4.9058,103.8112,40.52,4.4, Baturaja
12,4,2021,1:52:25,-5.2063,104.8916,105.48,4.9, Kotabumi
11,4,2021,19:03:37,-5.1078,101.0724,10,4.5, Bengkulu
29,3,2021,4:13:18,-4.5491,102.6262,59.62,5.2, Pagar Alam
8,3,2021,12:56:34,-4.4209,101.0083,10,5, Bengkulu
5,3,2021,18:56:20,-3.5477,101.6511,46.08,4.6, Bengkulu
3,3,2021,10:34:29,-4.7134,103.7169,148.69,4.6,Baturaja
1,3,2021,0:13:35,-4.4913,102.3056,57.26,4.3, Bengkulu
28,2,2021,23:52:34,-2.6399,102.1121,169.67,4.5, Curup
28,2,2021,15:26:06,-5.4883,102.3197,35,4.5,Bengkulu
21,2,2021,21:10:44,-4.3756,102.1377,47.83,4.9, Bengkulu
18,2,2021,10:43:09,-4.3303,101.6424,43.3,4.6,Bengkulu
16,2,2021,11:25:57,-5.0664,103.3801,56.04,4.3, Pagar Alam
15,2,2021,22:58:16,-5.5384,102.3885,35,4.1, Pagar Alam
13,2,2021,4:17:29,-5.6262,101.7088,10,4.4, Bengkulu
10,2,2021,10:21:32,-5.6388,101.6825,10,5, Bengkulu
10,2,2021,10:15:34,-5.6093,101.6854,10,5.2, Bengkulu
5,2,2021,9:07:57,-4.4442,102.2095,52.28,4.7, Bengkulu
30,1,2021,10:52:31,-4.5295,102.5048,54.9,4.9, Bengkulu
27,1,2021,10:40:25,-5.1167,103.6804,44.46,4.9, Baturaja
24,1,2021,13:03:29,-4.4396,102.533,54.96,5.1, Bengkulu
13,1,2021,6:18:22,-4.2223,102.0942,37.21,4.6, Bengkulu
13,1,2021,2:12:48,-4.586,104.7258,187.63,4.2, Kotabumi
6,1,2021,17:28:35,-4.3366,102.6881,58.04,5.5, Pagar Alam
23,12,2020,22:27:52,-4.4769,101.0465,10,4.3, Bengkulu
23,12,2020,22:19:53,-4.4368,101.0761,10,5.2, Bengkulu
22,12,2020,14:00:31,-4.5288,101.0519,10,4.5, Bengkulu
17,12,2020,2:17:55,-3.6154,102.5672,10,4.3, Curup
14,12,2020,18:24:13,-5.0316,102.0777,41,4.5,Bengkulu
14,12,2020,8:12:38,-3.9121,102.0026,53.36,4.5, Southrern Sumatra
9,12,2020,4:41:22,-3.3898,103.6835,306.97,4.2,Lahat
4,12,2020,21:52:55,-4.3819,102.144,42.46,4.3, Bengkulu
2,12,2020,13:55:29,-5.5557,105.1152,83.73,4.5, Bandar Lampung
2,12,2020,13:54:54,-5.519,105.0618,81.05,4.5,Bandar Lampung
29,11,2020,14:48:27,-5.0092,102.93,55.23,5.2, Pagar Alam
26,11,2020,18:32:59,-3.833,101.6833,38.67,4.4, Bengkulu
26,11,2020,16:05:03,-3.4918,101.1588,38.25,4.3, Bengkulu
23,11,2020,18:57:07,-4.1499,102.6756,82.23,4.2,Bengkulu
21,11,2020,16:58:37,-4.2943,102.1241,46.23,4.9, Bengkulu
20,11,2020,17:14:34,-3.7802,101.4312,35.79,4.3, Bengkulu
19,11,2020,20:12:14,-1.1384,100.8382,102.22,4.3,Solok
18,11,2020,11:37:54,-4.7116,102.8644,84.1,4.7, Pagar Alam
16,11,2020,23:24:39,-4.7595,102.8238,58.24,4.4, Pagar Alam
2,11,2020,8:10:08,-3.9159,101.7149,10,4.6, Bengkulu
1,11,2020,3:32:59,-5.2225,102.4699,25.95,4.8, Pagar Alam
17,10,2020,23:26:56,-4.4845,102.6998,62.9,4.3, Pagar Alam
16,10,2020,5:45:40,-5.3438,101.7944,27.84,4.5, Bengkulu
10,10,2020,10:43:04,-4.6967,102.6442,53.68,4.8, Pagar Alam
8,10,2020,16:07:51,-3.2357,101.7964,67.3,4.6,Bengkulu
5,10,2020,18:21:07,-4.3373,100.958,13.87,4.4, Bengkulu
1,10,2020,10:49:08,-2.4959,102.1105,148.65,4.4,Sungai Penuh
28,9,2020,1:17:34,-3.2804,101.555,55.73,4.1,Bengkulu
6,9,2020,16:45:24,-2.1683,102.2886,212.8,4.7,Sungai Penuh
5,9,2020,22:44:01,-5.594,105.1667,106.55,4.4,Bandar Lampung
3,9,2020,16:02:55,-4.4773,102.5889,54.02,5.3, Bengkulu
29,8,2020,5:35:41,-4.3469,101.039,10.5,4.9, Bengkulu
26,8,2020,2:37:04,-4.7494,103.2838,67.47,4.4, Pagar Alam
26,8,2020,1:36:23,-4.3358,101.1052,4.22,4.3, Southrern Sumatra
24,8,2020,11:45:39,-4.1191,100.8842,15.19,4.2, Bengkulu
24,8,2020,10:24:32,-4.0266,101.0051,10,5,Bengkulu
22,8,2020,7:21:46,-2.868,102.1689,121.35,4.4, Curup
22,8,2020,3:17:46,-4.3256,100.9671,10,4.6, Bengkulu
22,8,2020,0:39:35,-4.0808,100.9938,21,5.5, Bengkulu
21,8,2020,19:01:01,-4.2702,101.0439,18.03,4.3, Bengkulu
19,8,2020,1:37:58,-4.2866,101.1362,10,4.6, Bengkulu
18,8,2020,23:19:09,-4.4571,100.8855,15.2,4.2, Bengkulu
18,8,2020,22:57:09,-4.34,100.9906,14.97,4.1, Bengkulu
18,8,2020,22:39:08,-4.4556,100.9629,15.2,5, Bengkulu
18,8,2020,22:29:24,-4.2069,101.2411,26,6.9, Bengkulu
18,8,2020,22:23:59,-4.3217,101.1347,22,6.8, Bengkulu
13,8,2020,19:03:44,-2.9918,103.4033,291.06,4.2, Lubuklinggau
9,8,2020,7:17:59,-5.2296,102.7424,52.4,4.3, Pagar Alam
7,8,2020,17:49:46,-4.4168,102.8282,64.46,4.2, Pagar Alam
4,8,2020,7:45:16,-4.5781,103.3882,107.03,4.3, Pagar Alam
2,8,2020,4:35:03,-4.5387,102.6997,54.26,4.9, Pagar Alam
30,7,2020,19:43:26,-2.7362,101.3839,157.17,4.4, Sungai Penuh
27,7,2020,20:31:14,-5.5045,104.9966,57.49,4.6,Bandar Lampung
27,7,2020,12:20:08,-3.5409,102.6856,39.42,4.1, Curup
21,7,2020,12:28:42,-5.1901,103.2715,55.64,4, Pagar Alam
19,7,2020,16:10:31,-5.6082,105.9308,102.98,4.1, Serang
19,7,2020,14:01:28,-3.2279,101.6886,49.27,4.1,Bengkulu
16,7,2020,21:44:27,-3.7256,101.7398,46.75,4.4, Bengkulu
16,7,2020,14:47:30,-4.3959,101.9318,38.64,4.3, Bengkulu
15,7,2020,17:08:32,-4.5236,101.8629,35,4.1, Bengkulu
12,7,2020,6:27:08,-5.1936,102.3645,35,4.6,Bengkulu
11,7,2020,20:54:32,-4.7265,102.7487,61.37,4.6, Pagar Alam
9,7,2020,20:40:21,-3.5504,101.8303,71.17,4, Bengkulu
9,7,2020,17:01:05,-2.0697,101.9631,189.78,4.4, Sungai Penuh
8,7,2020,19:16:10,-5.3283,105.1061,136.15,4.3,Bandar Lampung
3,7,2020,8:47:15,-3.3404,100.9372,38.11,4.5,Sungai Penuh
2,7,2020,23:47:17,-1.2805,100.9219,10,4,Solok
29,6,2020,1:38:54,-1.8549,100.8012,78.12,4.3,Sungai Penuh
19,6,2020,5:34:47,-4.6264,103.3017,137.53,4.3, Pagar Alam
10,6,2020,4:35:18,-2.5751,101.152,41.7,5.1,Sungai Penuh
7,6,2020,15:52:26,-4.253,101.8177,42.01,4.4,Bengkulu
30,5,2020,2:00:25,-3.9836,101.1838,19.13,4.3,Bengkulu
19,5,2020,1:06:40,-4.6611,103.5046,59.44,4.7, Pagar Alam
29,4,2020,8:17:48,-4.4942,102.5006,50.92,4.8, Bengkulu
13,4,2020,7:07:14,-4.5148,102.3931,35,4.4, Bengkulu
5,4,2020,22:42:53,-5.2757,102.5135,35,4.9, Pagar Alam
26,3,2020,19:49:10,-4.6344,101.9548,35,4.3, Bengkulu
6,3,2020,19:52:59,-5.2218,102.2091,35,5,Bengkulu
28,2,2020,14:02:55,-3.9512,103.1177,93.99,5.1, Pagar Alam
21,2,2020,22:54:24,-5.1177,102.7216,35,4.9, Pagar Alam
14,2,2020,1:47:58,-4.4505,102.8111,62.89,4.7, Pagar Alam
2,2,2020,14:21:55,-3.0186,100.9185,42.1,4.3,Sungai Penuh
1,2,2020,9:09:31,-2.9219,101.0474,62.54,5,Sungai Penuh
27,1,2020,8:01:01,-3.7715,101.1315,35,4,Bengkulu
27,1,2020,3:32:36,-5.132,102.3652,34.91,4.8,Bengkulu
17,1,2020,1:34:44,-4.9258,102.7843,52.78,4.6, Pagar Alam
12,1,2020,8:18:28,-3.3391,102.4507,194.71,4, Curup
22,12,2019,18:19:19,-4.2173,102.1178,73.43,4.2, Bengkulu
17,12,2019,15:52:13,-2.8469,100.9598,35,4.4,Sungai Penuh
16,12,2019,14:49:16,-2.9702,100.9448,40.28,5.6,Sungai Penuh
30,11,2019,23:40:18,-4.5951,102.2283,42.56,4.7, Bengkulu
22,11,2019,21:42:48,-5.5263,104.276,87.78,4.1, Southrern Sumatra
21,11,2019,17:36:57,-5.2035,103.6705,69.84,4.8, Baturaja
15,11,2019,7:06:54,-4.4498,101.777,47.98,4.8,Bengkulu
13,11,2019,0:10:53,-4.5226,102.276,31.85,4.3, Bengkulu
9,11,2019,3:15:15,-2.9211,101.5134,35,4.4, Sungai Penuh
3,11,2019,1:09:11,-2.6317,102.029,153.79,4.3,Sungai Penuh
30,10,2019,22:26:33,-4.4252,101.1106,10,4.4, Bengkulu
29,10,2019,18:13:44,-2.6782,102.3091,163.21,4.3, Curup
15,10,2019,5:35:51,-4.4855,101.135,10,4.3, Bengkulu
15,10,2019,3:00:14,-4.4307,101.1328,10,5.1, Bengkulu
14,10,2019,22:34:13,-4.516,101.126,10,4.7, Bengkulu
14,10,2019,22:23:54,-4.482,101.1948,19,5.9, Bengkulu
7,10,2019,22:50:40,-3.6008,102.1721,78.41,4.4, Bengkulu
25,8,2019,14:19:49,-5.1116,102.3497,41.31,4.6,Bengkulu
25,8,2019,14:17:45,-5.027,102.4145,45.16,4.4,Bengkulu
17,8,2019,13:54:44,-3.4806,101.5874,58.51,4.9, Bengkulu
13,8,2019,18:38:38,-3.0402,101.3029,46.52,5.2,Sungai Penuh
26,7,2019,0:40:08,-3.1881,103.8936,345.27,4,Prabumulih
21,7,2019,20:24:39,-4.3167,102.7088,64.76,4.5, Pagar Alam
14,7,2019,9:48:07,-2.2736,100.8227,59.26,4.8,Sungai Penuh
12,7,2019,18:18:34,-3.2187,101.2221,43.48,4.4,Sungai Penuh
9,7,2019,22:54:26,-3.9893,101.6838,37.61,4.4, Bengkulu
6,7,2019,16:26:08,-4.5346,102.1262,52.12,4.2, Bengkulu
6,7,2019,12:30:20,-3.8843,101.4986,45.9,4.1, Bengkulu
25,6,2019,22:26:43,-4.7667,103.0806,69.02,4.6, Southrern Sumatra
23,6,2019,10:46:02,-5.6385,103.8351,62.26,4.5, Kotabumi
21,6,2019,20:15:52,-2.675,102.2365,168.62,4.2, Curup
14,6,2019,19:05:53,-5.5725,102.8378,40.25,4.4, Pagar Alam
28,5,2019,3:38:58,-3.6908,101.3647,35,4.5,Bengkulu
28,5,2019,1:06:24,-5.0764,100.8923,10,4.4, Bengkulu
22,5,2019,7:41:30,-5.5122,103.773,103.01,4.5, Kotabumi
16,5,2019,22:18:05,-2.5866,100.876,64.5,4.4,Sungai Penuh
6,5,2019,8:20:22,-5.3992,102.0257,35,5.1,Bengkulu
27,4,2019,13:04:26,-4.2655,102.143,57.42,5, Bengkulu
22,4,2019,7:05:04,-4.0884,103.6413,10,4.5,Tanjungagung
18,4,2019,20:53:04,-4.7493,102.224,31.76,4.4,Bengkulu
13,4,2019,12:04:01,-5.0552,101.6394,26.07,4.7, Bengkulu
25,3,2019,6:05:10,-5.1835,102.3771,20.98,4.8,Bengkulu
23,3,2019,8:02:14,-4.638,102.3409,15.44,4.9, Bengkulu
16,3,2019,22:29:29,-3.115,101.9737,87.29,5.1, Curup
27,2,2019,23:27:04,-1.3226,101.5784,10,5.4,Sungai Penuh
27,2,2019,18:54:57,-1.2342,101.522,10,4.5, Sijunjung
25,2,2019,6:39:12,-3.0705,102.9213,211.63,4.1, Lubuklinggau
20,2,2019,17:51:40,-3.3339,100.9487,28.01,4.4,Sungai Penuh
16,2,2019,1:27:11,-4.5147,101.9873,35,4.7, Bengkulu
10,2,2019,14:17:20,-4.6728,101.4624,10,4.6, Bengkulu
10,2,2019,14:08:58,-4.5666,101.5612,35,4.6, Bengkulu
20,1,2019,23:16:02,-5.0828,104.6141,208.13,4.3,Kotabumi
18,1,2019,5:34:10,-5.4136,102.5042,35.17,4.4, Pagar Alam
17,1,2019,8:40:51,-2.3505,101.9054,151.62,4.3,Sungai Penuh
13,1,2019,18:38:47,-5.6391,105.3543,10,4.5,Bandar Lampung
11,1,2019,19:05:29,-3.3932,101.2762,39,5.4, Bengkulu
6,1,2019,20:19:29,-2.8252,102.887,236.61,4.1, Lubuklinggau
30,12,2018,8:39:12,-2.677,102.349,166,5.7,Lubuklinggau
15,12,2018,3:37:07,-3.5353,101.5546,51.15,4.5, Bengkulu
11,12,2018,14:20:48,-4.6415,102.4835,58.2,4.9, Bengkulu
8,12,2018,17:45:52,-3.5268,101.5194,42.13,5.2, Bengkulu
8,12,2018,4:02:12,-4.0764,101.58,44.88,4.8, Bengkulu
7,12,2018,14:04:59,-3.3255,101.8314,37.08,4.5,Bengkulu
4,12,2018,9:35:21,-5.6273,105.3412,150,4.2,Bandar Lampung
1,12,2018,19:19:51,-2.8814,101.0403,48.53,4.4,Sungai Penuh
30,11,2018,14:49:32,-2.9663,100.9589,34.8,4.8,Sungai Penuh
21,11,2018,14:42:28,-5.1659,102.8386,42.17,4.8, Pagar Alam
17,11,2018,10:00:42,-3.2833,101.1865,35,4.2, Bengkulu
3,11,2018,15:58:32,-3.7587,101.8213,45.56,5.2, Bengkulu
12,10,2018,10:07:49,-3.9086,101.1964,35,4.2,Bengkulu
4,10,2018,18:27:40,-4.6372,101.8232,23.66,4.7, Bengkulu
25,9,2018,21:16:51,-4.8634,102.9795,63.84,4.8, Pagar Alam
18,9,2018,16:38:43,-4.8987,102.84,38.89,4.4, Pagar Alam
17,9,2018,15:40:18,-2.619,102.3618,147.45,4.2,Lubuklinggau
16,9,2018,6:54:33,-4.9123,102.9571,50.13,5, Pagar Alam
12,9,2018,7:27:50,-5.2755,102.3876,42.9,5.1,Bengkulu
11,9,2018,12:52:35,-4.5489,102.163,49.87,4.6, Bengkulu
6,9,2018,19:28:32,-3.8976,102.4097,81.03,4.2,Bengkulu
2,9,2018,11:30:58,-2.6387,102.1355,150.57,4.2, Curup
26,8,2018,15:17:17,-3.2681,102.0273,99.08,4.5, Curup
22,8,2018,13:54:33,-4.6423,102.8041,52.13,4.4, Pagar Alam
10,8,2018,13:36:44,-3.2475,102.2771,117.01,4.9,Curup
3,8,2018,12:40:24,-4.6178,102.9634,72.35,4.5, Pagar Alam
1,8,2018,15:25:29,-5.5715,102.604,22.77,4.6, Pagar Alam
28,7,2018,9:33:07,-4.5747,103.8107,214.95,4.4,Baturaja
14,7,2018,14:40:11,-5.2059,102.8814,44.84,4.9, Pagar Alam
29,6,2018,18:58:25,-4.4815,102.0186,43.3,4.4, Bengkulu
5,6,2018,2:03:17,-4.5778,101.837,39.85,4.4, Bengkulu
4,6,2018,6:31:32,-5.068,102.6592,35,4.9, Pagar Alam
19,5,2018,23:03:43,-4.2028,102.0625,60.79,4.5, Bengkulu
19,5,2018,19:08:36,-4.26,102.4143,59.14,5, Bengkulu
15,5,2018,1:20:53,-3.8201,101.6129,46.13,4.3, Bengkulu
7,5,2018,15:10:05,-5.2151,102.4875,36.85,4.2, Pagar Alam
27,4,2018,10:54:58,-4.0025,102.7738,89.86,4.8, Pagar Alam
23,4,2018,13:51:39,-3.2574,104.1041,365.24,4,Prabumulih
21,4,2018,11:36:33,-3.3659,101.5937,65.86,4.6, Bengkulu
17,4,2018,13:55:07,-5.338,102.3663,35.75,4.5,Bengkulu
14,4,2018,14:47:51,-4.8335,102.0937,53.16,4.7, Southrern Sumatra
7,4,2018,12:39:17,-5.056,101.8063,44.24,4.2, Bengkulu
22,3,2018,6:40:48,-3.9709,103.5954,154.3,4.5,Lahat
22,3,2018,0:08:03,-4.5415,102.8449,63.67,5.3, Pagar Alam
19,3,2018,7:28:40,-5.0766,102.6224,49.7,4.3, Pagar Alam
18,3,2018,13:54:07,-2.841,101.107,49.06,4.3,Sungai Penuh
13,3,2018,9:43:26,-4.0163,102.0732,58.93,4.2,Bengkulu
6,3,2018,16:43:16,-5.5297,102.4175,13.02,4.5, Pagar Alam
6,3,2018,16:21:31,-5.3128,102.3754,32.3,4.6,Bengkulu
25,2,2018,3:27:09,-3.0791,101.8513,53.08,4.1, Curup
15,2,2018,20:41:53,-4.8786,102.9326,60.33,4.5,Bengkulu
12,2,2018,19:15:40,-4.7262,101.0863,10,4.3, Bengkulu
5,2,2018,1:31:42,-4.4019,102.314,71.33,4.2, Bengkulu
24,1,2018,0:40:15,-4.6491,102.5962,69.24,4.7, Pagar Alam
14,1,2018,4:53:58,-3.5722,101.6537,49.22,4.6, Bengkulu
13,1,2018,7:11:27,-4.9212,102.9261,57.68,4.7, Pagar Alam
4,1,2018,15:54:06,-1.2136,101.0692,149.82,4.3, Sijunjung
4,1,2018,10:39:24,-5.6368,102.6738,33.27,4.4, Pagar Alam
1,1,2018,7:26:01,-4.3179,102.1873,52.09,4.8, Bengkulu
29,12,2017,19:14:30,-2.8144,101.0362,48.14,4.9,Sungai Penuh
29,12,2017,9:25:55,-5.4688,104.9811,134.83,4.1, Bandar Lampung
26,12,2017,5:29:07,-4.3014,102.2395,53.4,4.3, Bengkulu
22,12,2017,17:41:15,-4.3445,101.9407,44.72,4.7, Bengkulu
7,12,2017,15:16:35,-5.028,102.9493,53.36,5.3, Pagar Alam
5,12,2017,20:46:30,-3.1108,102.1648,45.54,5.1,Curup
26,11,2017,5:18:33,-3.7297,101.3591,29.4,4.2,Bengkulu
21,11,2017,18:51:34,-3.6709,101.5643,39.82,4.5, Bengkulu
18,11,2017,13:48:30,-5.0245,103.3966,63.88,4.4, Pagar Alam
15,11,2017,22:47:38,-2.3324,101.7019,105.05,4.4,Sungai Penuh
7,11,2017,10:49:14,-5.2828,102.8109,13.46,4.3, Pagar Alam
19,10,2017,17:50:40,-5.4559,104.8783,37.42,4.4, Bandar Lampung
19,10,2017,17:07:24,-4.6961,101.8219,42.19,4.4, Bengkulu
8,10,2017,5:46:08,-3.2559,100.8025,35.03,4.2,Sungai Penuh
24,9,2017,20:10:08,-3.3743,102.0946,80.93,5, Curup
24,9,2017,10:26:37,-3.5379,101.4422,76.33,4.5, Bengkulu
20,8,2017,1:06:21,-4.1154,103.6789,38.94,4.6,Tanjungagung
13,8,2017,5:05:01,-3.8027,101.3993,35,4.3, Bengkulu
13,8,2017,3:08:10,-3.7682,101.6228,31,6.4, Bengkulu
9,8,2017,9:10:32,-4.8056,103.1618,57.53,4.3, Pagar Alam
9,8,2017,5:41:22,-5.3129,102.4112,38.72,4.6,Bengkulu
8,8,2017,11:04:01,-5.2847,102.4463,35.84,4.6, Pagar Alam
31,7,2017,14:00:27,-2.6718,102.2422,158.65,5.1, Curup
27,7,2017,19:24:47,-4.3959,101.9417,50.48,5.1, Bengkulu
25,7,2017,23:57:50,-5.6513,101.3947,10,4.9, Bengkulu
23,7,2017,3:33:43,-5.6301,103.7242,40.67,4.7, Kotabumi
19,7,2017,15:36:09,-4.2667,102.2033,47.95,4.2, Bengkulu
17,7,2017,16:19:06,-5.2111,103.3465,57.59,4.8, Pagar Alam
16,7,2017,17:01:39,-2.8351,101.9677,104.23,4.2,Curup
9,7,2017,18:52:55,-2.5313,101.0096,64.77,4.3,Sungai Penuh
9,7,2017,13:02:53,-4.3374,100.9072,14.82,4.7, Bengkulu
5,7,2017,14:38:58,-4.338,102.9257,62.58,4.6, Pagar Alam
26,6,2017,15:52:33,-4.0625,101.9279,40.89,4.2,Bengkulu
22,6,2017,1:29:12,-4.5698,102.6039,52.51,4.3, Bengkulu
20,6,2017,18:21:41,-4.1281,102.1165,64.6,5.2, Bengkulu
17,6,2017,21:27:12,-3.2652,101.1271,49.01,4.3,Sungai Penuh
13,6,2017,22:27:05,-4.6262,102.2317,53.27,4.4, Bengkulu
12,6,2017,20:34:26,-4.5937,102.5848,52.62,4.3, Bengkulu
